id,name,description,import_only,weblink_id
145,PSK-DEATHMATCH,MDXA PSK DeathMatch (2005-2010),f,
146,QC-QSO-PARTY,Quebec QSO Party,f,
147,RAC,Canadian Amateur Radio Society Contest,t,
148,RAC-CANADA-DAY,RAC Canada Day Contest,f,
149,RAC-CANADA-WINTER,RAC Canada Winter Contest,f,
150,RDAC,Russian District Award Contest,f,
151,RDXC,Russian DX Contest,f,
152,REF-160M,Reseau des Emetteurs Francais 160m Contest,f,
153,REF-CW,Reseau des Emetteurs Francais Contest (CW),f,
154,REF-SSB,Reseau des Emetteurs Francais Contest (SSB),f,
155,REP-PORTUGAL-DAY-HF,Rede dos Emissores Portugueses Portugal Day HF Contest,f,
156,RI-QSO-PARTY,Rhode Island QSO Party,f,
157,RSGB-160,1.8MHz Contest,f,
158,RSGB-21/28-CW,21/28 MHz Contest (CW),f,
159,RSGB-21/28-SSB,21/28 MHz Contest (SSB),f,
160,RSGB-80M-CC,80m Club Championships,f,
161,RSGB-AFS-CW,Affiliated Societies Team Contest (CW),f,
162,RSGB-AFS-SSB,Affiliated Societies Team Contest (SSB),f,
163,RSGB-CLUB-CALLS,Club Calls,f,
164,RSGB-COMMONWEALTH,Commonwealth Contest,f,
165,RSGB-IOTA,IOTA Contest,f,
166,RSGB-LOW-POWER,Low Power Field Day,f,
167,RSGB-NFD,National Field Day,f,
168,RSGB-ROPOCO,RoPoCo,f,
169,RSGB-SSB-FD,SSB Field Day,f,
170,RUSSIAN-RTTY,Russian Radio RTTY Worldwide Contest,f,
171,SAC-CW,Scandinavian Activity Contest (CW),f,
172,SAC-SSB,Scandinavian Activity Contest (SSB),f,
173,SARTG-RTTY,SARTG WW RTTY,f,
174,SC-QSO-PARTY,South Carolina QSO Party,f,
175,SCC-RTTY,SCC RTTY Championship,f,
176,SD-QSO-PARTY,South Dakota QSO Party,f,
177,SMP-AUG,SSA Portabeltest,f,
178,SMP-MAY,SSA Portabeltest,f,
179,SP-DX-RTTY,PRC SPDX Contest (RTTY),f,
180,SPAR-WINTER-FD,SPAR Winter Field Day,f,
181,SPDXContest,SP DX Contest,f,
182,SPRING SPRINT,FISTS Spring Sprint,f,
183,SR-MARATHON,Scottish-Russian Marathon,f,
184,STEW-PERRY,Stew Perry Topband Distance Challenge,f,
185,SUMMER SPRINT,FISTS Summer Sprint,f,
186,TARA-GRID-DIP,TARA Grid Dip PSK-RTTY Shindig,f,
187,TARA-RTTY,TARA RTTY Mêlée,f,
188,TARA-RUMBLE,TARA Rumble PSK Contest,f,
189,TARA-SKIRMISH,TARA Skirmish Digital Prefix Contest,f,
190,TEN-RTTY,Ten-Meter RTTY Contest (before 2011),f,
191,TMC-RTTY,The Makrothen Contest,f,
192,TN-QSO-PARTY,Tennessee QSO Party,f,
193,TX-QSO-PARTY,Texas QSO Party,f,
194,UBA-DX-CW,UBA Contest (CW),f,
195,UBA-DX-SSB,UBA Contest (SSB),f,
196,UK-DX-BPSK63,European PSK Club BPSK63 Contest,f,
197,UK-DX-RTTY,UK DX RTTY Contest,f,
198,UKR-CHAMP-RTTY,Open Ukraine RTTY Championship,f,
199,UKRAINIAN DX,Ukrainian DX,f,
200,UKSMG-6M-MARATHON,UKSMG 6m Marathon,f,
201,UKSMG-SUMMER-ES,UKSMG Summer Es Contest,f,
202,URE-DX,Ukrainian DX Contest,t,
203,US-COUNTIES-QSO,Mobile Amateur Awards Club,f,
204,UT-QSO-PARTY,Utah QSO Party,f,
205,VA-QSO-PARTY,Virginia QSO Party,f,
206,VENEZ-IND-DAY,RCV Venezuelan Independence Day Contest,f,
207,VIRGINIA QSO PARTY,Virginia QSO Party,t,
208,VOLTA-RTTY,Alessandro Volta RTTY DX Contest,f,
209,WA-QSO-PARTY,Washington QSO Party,f,
210,WI-QSO-PARTY,Wisconsin QSO Party,f,
211,WINTER SPRINT,FISTS Winter Sprint,f,
212,WV-QSO-PARTY,West Virginia QSO Party,f,
213,WY-QSO-PARTY,Wyoming QSO Party,f,
214,XE-INTL-RTTY,Mexico International Contest (RTTY),f,
215,YOHFDX,YODX HF contest,f,
216,YUDXC,YU DX Contest,f,
